SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;DS_GENERO;DS_COR_RACA;ST_REELEICAO
RR;RORAIMA;DEPUTADO FEDERAL;230001610863;4300;JOSY ENFERMEIRA;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001600113;1033;CIDA LACERDA;DEFERIDO;FEMININO;BRANCA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001600193;20000;ISAMAR JÚNIOR;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001610933;43111;SELMINHA MARCELO;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001611097;5123;AVENIR ROSA;DEFERIDO;MASCULINO;BRANCA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001734587;13222;JEANE RIBEIRO;DEFERIDO;FEMININO;PRETA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001642286;23234;MARCELO CABRAL;DEFERIDO;MASCULINO;BRANCA;S
RR;RORAIMA;DEPUTADO ESTADUAL;230001613689;10022;ZENAIDE;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001642283;23777;JOÃO PICANÇO;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001602235;55023;TONILSON MAMÉDIO;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001671306;14321;NATY DA SAUDE;INDEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001610864;1325;MARIA DAS NEVES;INDEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001611078;33233;CRISTIANO MORAES;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001642297;45755;EVANDRO PEREIRA;DEFERIDO;MASCULINO;INDÍGENA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001600050;10101;KASSIA SENA;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001600044;10011;DRA. LARISSA;DEFERIDO;FEMININO;BRANCA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001600068;90789;GISELE ALVES;DEFERIDO;FEMININO;BRANCA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001604240;11120;ANGELA ÁGUIDA PORTELLA;DEFERIDO;FEMININO;BRANCA;S
RR;RORAIMA;DEPUTADO ESTADUAL;230001643501;77234;ARIDAN MAIA;DEFERIDO;MASCULINO;PARDA;S
RR;RORAIMA;DEPUTADO ESTADUAL;230001605887;19190;PROFESSOR JORGE MARIO;INDEFERIDO COM RECURSO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001600102;9099;PASTOR ANTONIO EMILIANO;DEFERIDO;MASCULINO;PRETA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001595280;4490;JOSEANE SOUZA;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001604271;22022;CAPITÃO EMMANUEL;DEFERIDO;MASCULINO;BRANCA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001714077;12321;EMILI FARIAS;DEFERIDO;FEMININO;BRANCA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001604268;22123;LUCIA DA DECORAÇÃO;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;1º SUPLENTE;230001737562;190;ADONIAS ARAÚJO;DEFERIDO;MASCULINO;BRANCA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001643489;7788;THIAGO FOGAÇA;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001595279;4411;DELEGADO HERBERT;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001600086;90012;ADRIANA DE PAULA;DEFERIDO;FEMININO;PRETA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001671301;14777;ANTÔNIO CARLOS GURU;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001610865;4343;MASAMU EDA;RENÚNCIA;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001604273;22888;DR WASHINGTON;DEFERIDO;MASCULINO;BRANCA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001610923;65123;EDMILSON ALBURQUERQUE;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001610952;3322;SHAOLYN;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;VICE-GOVERNADOR;230001604254;11;EDILSON DAMIÃO;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001714063;12345;IGOR RAMOS;DEFERIDO;MASCULINO;BRANCA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001714071;12323;JOELSON COSTA;DEFERIDO;MASCULINO;PARDA;N
